20000	6722607	79.1	100
21000	7074292	83.2	100
22000	7414044	87.2	100
23000	7817799	92.0	100
24000	8046084	94.7	100
25000	8491328	99.9	100
26000	8890710	104.6	100
27000	9194820	108.2	100
28000	9661424	113.7	100
29000	9984002	117.5	100
30000	10384247	122.2	100
31000	10651790	125.3	100
32000	10931051	128.6	100
33000	11401746	134.1	100
34000	11793224	138.7	100
35000	12209174	143.6	100
36000	12508715	147.2	100
37000	12794443	150.5	100
38000	13236540	155.7	100
39000	13566089	159.6	100
40000	13829030	162.7	100
